"RANKING","PAIS","JUGADOR","EDAT","PUNTS","TORNEJOS","WL","TITOLS","RANKING_DOB","GUANYS_IND","GUANYS_DOB","GUANYS_TOT"
"1","ESP","Rafael Nadal",31,"10,645",17,"67-10","6","550",12586340,12660,12599000
"2","SUI","Roger Federer",36,"9,005",16,"49-4","7","0",11022856,0,11022856
"3","GER","Alexander Zverev",20,"4,410",24,"54-20","5","99",3824313,102685,3926998
"4","AUT","Dominic Thiem",24,"3,815",26,"48-25","1","269",3271907,61719,3333626
"5","CRO","Marin Cilic",29,"3,805",21,"44-19","1","184",3405923,58815,3464738
"6","BUL","Grigor Dimitrov",26,"3,650",22,"44-19","3","562",3046244,33266,3079510
"7","SUI","Stan Wawrinka",32,"3,150",15,"26-11","1","555",2802229,16683,2818912
"8","BEL","David Goffin",26,"2,975",25,"54-22","2","555",2372613,14063,2386676
"9","USA","Jack Sock",25,"2,765",21,"36-19","3","39",2266419,257154,2523573
"10","ESP","Pablo Carreno Busta",26,"2,615",24,"36-24","1","45",2420305,166054,2586359
"11","ARG","Juan Martin del Potro",29,"2,595",19,"38-16","1","319",2302354,32947,2335301
"12","SRB","Novak Djokovic",30,"2,585",16,"32-8","2","233",2083741,32783,2116524
"13","USA","Sam Querrey",30,"2,535",23,"36-21","2","58",2232149,170678,2402827
"14","RSA","Kevin Anderson",31,"2,480",22,"32-21","0","289",2842345,15600,2857945
"15","FRA","Jo-Wilfried Tsonga",32,"2,320",20,"37-14","4","552",1843647,13368,1857015
"16","GBR","Andy Murray",30,"2,290",16,"25-10","1","552",2071625,21000,2092625
"17","USA","John Isner",32,"2,265",24,"38-22","2","98",1707550,129404,1836954
"18","FRA","Lucas Pouille",23,"2,235",24,"35-21","3","158",1953511,87622,2041133
"19","CZE","Tomas Berdych",32,"2,095",19,"35-18","0","555",1782871,20674,1803545
"20","ESP","Roberto Bautista Agut",29,"2,015",24,"48-21","2","321",1753055,41882,1794937
"21","AUS","Nick Kyrgios",22,"2,010",19,"31-17","0","74",1787646,137854,1925500
"22","JPN","Kei Nishikori",27,"1,885",19,"30-13","0","827",1485482,6273,1491755
"23","ESP","Albert Ramos-Vinolas",29,"1,845",30,"34-31","0","150",1643204,138566,1781770
"24","CAN","Milos Raonic",26,"1,795",20,"29-12","0","0",1405103,4343,1409446
"25","LUX","Gilles Muller",34,"1,695",22,"32-18","2","104",1227494,113812,1341306
"26","ARG","Diego Schwartzman",25,"1,675",28,"39-28","0","134",1523297,94492,1617789
"27","ITA","Fabio Fognini",30,"1,670",24,"36-23","1","96",1304964,124091,1429055
"28","FRA","Adrian Mannarino",29,"1,635",29,"33-27","0","291",1279672,53505,1333177
"29","GER","Philipp Kohlschreiber",34,"1,440",22,"32-19","1","563",1171269,39302,1210571
"30","BIH","Damir Dzumhur",25,"1,391",28,"36-24","2","367",1012697,25914,1038611
"31","FRA","Richard Gasquet",31,"1,375",21,"29-18","0","0",1020777,9409,1030186
"32","GER","Mischa Zverev",30,"1,302",31,"30-32","0","52",1276820,202885,1479705
"33","SRB","Filip Krajinovic",25,"1,298",26,"5-2","0","794",605365,3383,608748
"34","ESP","Fernando Verdasco",33,"1,295",25,"29-25","0","65",1221155,178431,1399586
"35","ESP","Feliciano Lopez",36,"1,295",25,"25-23","1","24",1303087,428664,1731751
"36","ESP","David Ferrer",35,"1,290",23,"24-21","1","558",1046695,19516,1066211
"37","RUS","Andrey Rublev",20,"1,288",23,"18-16","1","320",1061168,39859,1101027
"38","URU","Pablo Cuevas",31,"1,280",24,"20-21","1","20",1113561,421432,1534993
"39","UKR","Alexandr Dolgopolov",28,"1,231",24,"28-23","1","0",934290,6467,940757
"40","JPN","Yuichi Sugita",29,"1,219",29,"22-16","1","600",727829,16555,744384
"41","FRA","Benoit Paire",28,"1,155",33,"31-31","0","172",1021800,93935,1115735
"42","NED","Robin Haase",30,"1,130",30,"28-30","0","81",1036252,130382,1166634
"43","ITA","Paolo Lorenzi",35,"1,095",34,"25-35","0","84",979470,172572,1152042
"44","USA","Steve Johnson",27,"1,055",26,"30-22","1","164",933228,72212,1005440
"45","RUS","Karen Khachanov",21,"1,030",28,"25-29","0","120",1077784,100835,1178619
"46","FRA","Gael Monfils",31,"1,015",17,"20-14","0","318",1021555,21803,1043358
"47","USA","Ryan Harrison",25,"1,010",26,"19-23","1","21",780131,455653,1235784
"48","CRO","Borna Coric",20,"1,001",28,"21-25","1","0",854482,5337,859819
"49","GBR","Aljaz Bedene",28,"993",21,"19-18","0","558",640720,15601,656321
"50","GBR","Kyle Edmund",22,"992",27,"30-30","0","0",952699,12696,965395
"51","CAN","Denis Shapovalov",18,"981",23,"11-11","0","773",682664,1830,684494
"52","FRA","Julien Benneteau",35,"959",20,"13-14","0","47",570506,161428,731934
"53","ARG","Leonardo Mayer",30,"917",19,"11-8","1","153",655888,47258,703146
"54","KOR","Hyeon Chung",21,"914",23,"24-18","0","395",650510,21952,672462
"55","USA","Jared Donaldson",21,"908",29,"21-22","0","0",790088,14847,804935
"56","GER","Jan-Lennard Struff",27,"898",33,"28-29","0","190",781676,63166,844842
"57","SRB","Viktor Troicki",31,"880",28,"24-28","0","107",886201,102983,989184
"58","UZB","Denis Istomin",31,"873",25,"17-18","1","263",699225,19010,718235
"59","POR","Joao Sousa",28,"850",30,"25-32","0","235",704606,72036,776642
"60","GER","Peter Gojowczyk",28,"839",21,"14-9","1","0",407519,270,407789
"61","GEO","Nikoloz Basilashvili",25,"826",31,"25-27","0","0",732876,26473,759349
"62","USA","Donald Young",28,"816",24,"24-22","0","48",713155,213517,926672
"63","CZE","Jiri Vesely",24,"815",26,"24-26","0","135",705189,77169,782358
"64","ARG","Horacio Zeballos",32,"808",32,"20-22","0","38",707541,165725,873266
"65","RUS","Daniil Medvedev",21,"772",26,"22-24","0","351",617579,22407,639986
"66","ARG","Guido Pella",27,"757",22,"16-18","0","829",457931,19792,477723
"67","ISR","Dudi Sela",32,"755",23,"13-17","0","176",474394,43894,518288
"68","ARG","Federico Delbonis",27,"755",19,"11-10","0","396",378265,16717,394982
"69","GER","Florian Mayer",34,"718",22,"10-17","0","202",673616,54486,728102
"70","ESP","Guillermo Garcia-Lopez",34,"714",29,"5-15","0","83",403631,93370,497001
"71","RUS","Evgeny Donskoy",27,"706",30,"5-14","0","259",435654,13396,449050
"72","TPE","Yen-Hsun Lu",34,"704",24,"9-14","0","234",442787,41009,483796
"73","ITA","Thomas Fabbiano",28,"701",27,"4-12","0","502",381464,20305,401769
"74","SRB","Dusan Lajovic",27,"687",27,"18-22","0","322",548667,27642,576309
"75","BEL","Steve Darcis",33,"667",22,"20-18","0","323",531591,35672,567263
"76","FRA","Jeremy Chardy",30,"665",27,"18-21","0","92",558812,95405,654217
"77","USA","Frances Tiafoe",19,"663",26,"7-17","0","366",499300,20939,520239
"78","CRO","Ivo Karlovic",38,"660",23,"15-20","0","0",670230,0,670230
"79","KAZ","Mikhail Kukushkin",29,"659",23,"13-14","0","830",518755,6892,525647
"80","DOM","Victor Estrella Burgos",37,"656",25,"9-10","1","344",354188,15427,369615
"81","GER","Cedrik-Marcel Stebe",27,"655",22,"6-6","0","0",201758,1802,203560
"82","FRA","Pierre-Hugues Herbert",26,"652",23,"10-20","0","13",548422,588861,1137283
"83","RUS","Mikhail Youzhny",35,"633",27,"10-20","0","833",461710,27554,489264
"84","HUN","Marton Fucsovics",25,"629",23,"9-8","0","465",281380,6085,287465
"85","USA","Tennys Sandgren",26,"623",32,"2-6","0","275",224380,7018,231398
"86","MDA","Radu Albot",27,"616",30,"9-17","0","208",466537,20962,487499
"87","GRE","Stefanos Tsitsipas",19,"615",32,"4-10","0","501",302949,3703,306652
"88","SRB","Laslo Djere",22,"612",29,"7-5","0","0",139601,1847,141448
"89","FRA","Gilles Simon",32,"610",26,"16-25","0","837",666044,40294,706338
"90","GER","Maximilian Marterer",22,"608",27,"0-10","0","617",206462,3509,209971
"91","ROU","Marius Copil",27,"601",25,"8-15","0","738",354593,12935,367528
"92","AUS","Jordan Thompson",23,"593",26,"13-17","0","87",423584,88877,512461
"93","BRA","Rogerio Dutra Silva",33,"592",30,"10-21","0","90",445345,100164,545509
