"RANKING","PAIS","EDAT","TORNEJOS","TITOLS","GUANYS_IND","WIN","LOSE","ATP","GUANYSNORM","GUANYSDISC"
88,"SRB",22,29,0,139601,7,5,"ATP",4.189,"ALT"
108,"ESP",24,27,0,120823,3,2,"ATP",3.524,"ALT"
116,"GER",25,22,0,144674,7,5,"ATP",4.369,"ALT"
122,"ITA",21,22,0,84668,0,1,"ATP",2.242,"MIG"
124,"POR",29,21,0,109828,4,1,"ATP",3.134,"MIG-ALT"
128,"BLR",24,16,0,71296,3,0,"ATP",1.768,"MIG"
134,"GER",24,24,0,86389,0,0,"NOATP",2.303,"MIG"
140,"IND",25,22,0,128693,8,4,"ATP",3.803,"ALT"
145,"USA",19,25,0,145770,0,4,"ATP",4.408,"ALT"
147,"AUS",20,29,0,128408,2,5,"ATP",3.792,"ALT"
148,"IND",22,33,0,105088,8,5,"ATP",2.966,"MIG-ALT"
149,"ITA",32,23,0,95575,0,2,"ATP",2.629,"MIG-ALT"
151,"JPN",29,27,0,114573,0,2,"ATP",3.302,"MIG-ALT"
153,"BIH",26,21,0,116603,4,2,"ATP",3.374,"MIG-ALT"
154,"CAN",17,22,0,62263,0,0,"NOATP",1.448,"MIG"
155,"FRA",18,23,0,57242,0,0,"NOATP",1.27,"MIG-BAIX"
156,"SRB",22,25,0,75293,0,0,"NOATP",1.91,"MIG"
157,"FRA",30,27,0,115275,5,4,"ATP",3.327,"MIG-ALT"
160,"JPN",33,23,0,140542,1,3,"ATP",4.223,"ALT"
161,"FRA",23,27,0,115137,0,2,"ATP",3.322,"MIG-ALT"
162,"SVK",25,25,0,131001,3,6,"ATP",3.884,"ALT"
163,"SVK",28,21,0,69580,2,2,"ATP",1.708,"MIG"
165,"FRA",29,30,0,85203,1,1,"ATP",2.261,"MIG"
166,"HUN",28,31,0,55780,1,3,"ATP",1.219,"MIG-BAIX"
167,"GER",28,22,0,67392,1,1,"ATP",1.63,"MIG"
168,"GBR",23,21,0,77678,2,2,"ATP",1.995,"MIG"
169,"BEL",25,24,0,121330,2,5,"ATP",3.542,"ALT"
170,"ITA",24,34,0,74765,0,1,"ATP",1.891,"MIG"
172,"POR",24,23,0,52023,2,1,"ATP",1.085,"MIG-BAIX"
173,"BIH",29,28,0,78813,0,1,"ATP",2.035,"MIG"
174,"BLR",27,31,0,86097,0,0,"NOATP",2.293,"MIG"
175,"USA",22,28,0,89736,0,0,"NOATP",2.422,"MIG-ALT"
178,"EST",29,17,0,40268,1,2,"ATP",0.669,"MIG-BAIX"
